keyword_count,years_experience,word_count,role_count,education_level,cert_count,sentiment_score,public_repos,followers,github_years,avg_stars_per_repo,connections,num_skills,has_linkedin,relevant_skills,resume_score,github_score,linkedin_score,total_score
1,1,174,1,1,1,0.18026323929905108,1,1,15,3.6661276562311476,123,5,1,1,21.80263239299051,9.666127656231147,19,50.593078212987876
5,9,219,2,2,1,0.3167209083647159,3,1,1,3.2871765905940866,25,9,1,2,40.0,7.287176590594086,19,72.22103611052079
1,3,222,0,1,0,0.25011712644886686,6,1,6,0.03335550616181767,106,8,1,2,16.50117126448867,11.033355506161818,21,37.96070228838955
2,2,135,0,3,2,0.20110952203195795,4,67,3,0.4135758195145586,17,8,1,1,37.01109522031958,7.413575819514558,17,60.158002332400415
2,0,138,1,1,1,0.1550892531170685,13,19,1,2.1278728260007074,5,6,0,0,22.550892531170685,13.127872826000708,10,50.722842132390866
2,0,143,1,0,1,0.22022258745919648,2,79,2,0.9424386487801204,12,4,0,0,18.202225874591964,4.94243864878012,8,28.059415582570836
5,0,168,0,1,0,0.257724837237553,3,28,5,8.089127042393168,265,6,0,0,22.57724837237553,13.0,15,55.145952076559695
4,6,243,0,3,0,0.1339105663013817,0,30,6,2.1896676280350253,80,7,1,1,40.0,7.189667628035025,18,68.571576226554
2,2,201,0,1,1,0.23717360280120475,4,35,0,6.272238624065532,159,5,1,2,22.371736028012048,9.0,22,54.217570402154706
0,3,186,2,2,0,0.3078430744198711,1,62,1,0.44990657992204314,40,9,1,1,29.078430744198712,2.449906579922043,17,51.522835372724586
3,0,141,0,2,2,0.1777521866700142,0,15,1,3.989568946823068,89,5,1,3,30.77752186670014,4.989568946823068,22,64.24025733222386
2,10,195,1,1,0,0.20681228501406518,3,6,0,0.7753062917880257,68,7,1,1,38.068122850140654,3.775306291788026,18,62.85593399097302
3,5,160,1,0,0,0.2483778834002778,3,40,2,9.125142723588986,291,10,1,1,26.483778834002777,10.0,22,63.129423146660564
